City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.660000000000025,90,43,15.02,SH,1699377422
1,bredasdorp,-34.5322,20.0403,15.460000000000036,57,53,4.8,ZA,1699377422
2,adamstown,-25.066,-130.1015,22.590000000000032,85,100,9.75,PN,1699377422
3,hanzhong,33.0728,107.0303,12.670000000000016,82,75,0.67,CN,1699377423
4,qarah bagh,34.9402,61.7759,16.620000000000005,55,100,3.7,AF,1699377423
5,knyaginino,55.8228,45.0349,8.120000000000005,92,99,3.87,RU,1699377423
6,khandyga,62.6667,135.6,-34.139999999999986,100,19,0.14,RU,1699377423
7,juegang,32.3174,121.1855,13.150000000000034,75,1,4.42,CN,1699377424
8,papatowai,-46.5619,169.4708,7.650000000000034,89,100,2.39,NZ,1699377424
9,west island,-12.1568,96.8225,25.99000000000001,83,40,5.14,CC,1699377424
10,puerto ayora,-0.7393,-90.3518,28.980000000000018,78,35,4.47,EC,1699377425
11,lebu,-37.6167,-73.65,13.220000000000027,75,24,3.43,CL,1699377425
12,punta arenas,-53.15,-70.9167,7.840000000000032,65,82,5.31,CL,1699377162
13,stanley,54.868,-1.6985,9.330000000000041,88,20,3.6,GB,1699377143
14,port-aux-francais,-49.35,70.2167,3.4700000000000273,75,70,9.67,TF,1699377426
15,invercargill,-46.4,168.35,9.450000000000045,87,100,0.45,NZ,1699377168
16,callao,-12.0667,-77.15,21.160000000000025,73,100,2.57,PE,1699377192
17,kingston,17.997,-76.7936,33.47000000000003,60,20,1.54,JM,1699377427
18,petropavlovsk-kamchatsky,53.0452,158.6483,-3.6399999999999864,48,75,4.02,RU,1699377427
19,nemuro,43.3236,145.575,9.129999999999995,77,16,11.37,JP,1699377427
20,st. john's,47.5649,-52.7093,5.710000000000036,59,75,3.09,CA,1699377427
21,yellowknife,62.456,-114.3525,-5.7099999999999795,86,100,3.6,CA,1699377423
22,kalaoa,19.7286,-155.9817,21.29000000000002,94,75,2.57,US,1699377428
23,ushuaia,-54.8,-68.3,7.810000000000002,58,75,11.18,AR,1699377428
24,porto santo stefano,42.4338,11.1237,13.79000000000002,62,94,5.75,IT,1699377429
25,tiksi,71.6872,128.8694,-22.72999999999999,95,60,3.2,RU,1699377429
26,keflavik,64.0049,-22.5624,4.240000000000009,81,40,8.75,IS,1699377429
27,waitangi,-43.9535,-176.5597,12.120000000000005,97,100,0.45,NZ,1699377430
28,ust'-kulom,61.6864,53.6902,3.1000000000000227,96,100,3.12,RU,1699377430
29,albany,42.6001,-73.9662,16.890000000000043,72,52,0.89,US,1699377318
30,bamboo flat,11.7,92.7167,27.05000000000001,89,40,1.03,IN,1699377430
31,tralee,52.2704,-9.7026,10.140000000000043,76,75,3.09,IE,1699377431
32,trincomalee,8.5711,81.2335,27.900000000000034,78,66,2.19,LK,1699377431
33,hampton bays,40.869,-72.5176,17.08000000000004,77,0,8.94,US,1699377262
34,mana,5.6592,-53.7767,30.810000000000002,68,65,5.81,GF,1699377431
35,wailua homesteads,22.0669,-159.378,24.439999999999998,89,100,8.75,US,1699377431
36,kone,-21.0595,164.8658,19.220000000000027,84,63,2.46,NC,1699377432
37,olinda,-8.0089,-34.8553,28.850000000000023,65,75,3.6,BR,1699377432
38,bethel,41.3712,-73.414,15.860000000000014,78,0,4.12,US,1699377432
39,vadso,70.0744,29.7487,0.4900000000000091,100,75,3.6,NO,1699377432
40,hithadhoo,-0.6,73.0833,26.910000000000025,80,99,2.97,MV,1699377433
41,tura,25.5198,90.2201,18.27000000000004,87,8,1.43,IN,1699377433
42,palmer,42.1584,-72.3287,16.77000000000004,69,75,4.63,US,1699377433
43,devarkonda,16.7,78.9333,23.660000000000025,87,57,2.47,IN,1699377433
44,margaret river,-33.95,115.0667,11.660000000000025,91,32,3.5,AU,1699377434
45,severskaya,44.8541,38.6769,15.370000000000005,77,0,1.86,RU,1699377434
46,aasiaat,68.7098,-52.8699,-6.2099999999999795,71,100,7.47,GL,1699377434
47,huanan,46.2167,130.5167,-18.779999999999973,100,49,1.68,CN,1699377434
48,blackmans bay,-43.0167,147.3167,12.07000000000005,94,89,1.84,AU,1699377435
49,constantia,44.1833,28.65,13.379999999999995,66,100,4.27,RO,1699377435
50,college,64.8569,-147.8028,-8.029999999999973,86,100,0.0,US,1699377435
51,puerto natales,-51.7236,-72.4875,11.25,54,75,8.75,CL,1699377435
52,san antonio de pale,-1.4014,5.6325,26.310000000000002,82,92,6.28,GQ,1699377436
53,carnarvon,-24.8667,113.6333,20.83000000000004,76,0,8.36,AU,1699377436
54,cascais,38.6979,-9.4215,17.74000000000001,69,20,8.05,PT,1699377436
55,polyarnyy,69.1989,33.4478,0.18999999999999773,79,100,4.69,RU,1699377436
56,enewetak,11.3474,162.3373,28.180000000000007,71,100,10.11,MH,1699377437
57,naxos,37.1056,25.3764,22.390000000000043,78,0,0.45,GR,1699377377
58,iqaluit,63.7506,-68.5145,-9.149999999999977,78,100,3.09,CA,1699377437
59,nosy varika,-20.5833,48.5333,22.660000000000025,73,34,1.61,MG,1699377437
60,arraial do cabo,-22.9661,-42.0278,24.920000000000016,47,20,5.14,BR,1699377437
61,escarcega,18.6089,-90.7454,30.960000000000036,51,82,1.46,MX,1699377438
62,afaahiti,-17.75,-149.2833,24.930000000000007,84,87,9.68,PF,1699377438
63,isafjordur,66.0755,-23.124,1.0200000000000387,75,40,0.0,IS,1699377438
64,kariba,-16.5167,28.8,32.650000000000034,32,56,1.96,ZW,1699377438
65,zheleznogorsk,52.331,35.3711,7.350000000000023,86,16,4.6,RU,1699377438
66,kavaratti,10.5669,72.642,28.58000000000004,71,96,1.39,IN,1699377254
67,sao miguel,-5.4667,-35.3667,31.430000000000007,51,94,7.63,BR,1699377439
68,sitka,57.0531,-135.33,3.9399999999999977,93,100,1.54,US,1699377439
69,panevezys,55.7333,24.35,8.240000000000009,84,99,5.49,LT,1699377214
70,susuman,62.7833,148.1667,-26.129999999999967,99,99,0.4,RU,1699377439
71,ribeira grande,38.5167,-28.7,20.430000000000007,88,75,7.6,PT,1699377439
72,longyearbyen,78.2186,15.6401,-13.089999999999975,78,20,3.09,SJ,1699377440
73,gadzhiyevo,69.2551,33.3362,0.7400000000000091,78,100,5.16,RU,1699377440
74,dalandzadgad,43.5708,104.425,-6.859999999999957,25,80,1.85,MN,1699377440
75,posto fiscal rolim de moura,-13.0833,-62.2667,41.52000000000004,23,95,1.59,BR,1699377441
76,pingzhuang,42.0372,119.2889,-1.4699999999999704,85,86,0.8,CN,1699377441
77,pangoa,-12.1167,-73.0,34.150000000000034,38,95,2.2,PE,1699377441
78,klyuchi,52.2667,79.1667,-2.2999999999999545,78,48,2.1,RU,1699377442
79,qaqortoq,60.7167,-46.0333,3.420000000000016,50,100,6.31,GL,1699377442
80,alta,69.9689,23.2717,0.5900000000000318,87,75,1.03,NO,1699377442
81,sohbatpur,28.5202,68.5434,26.660000000000025,31,24,2.84,PK,1699377442
82,mhamid,29.82,-5.72,23.58000000000004,25,0,10.5,MA,1699377443
83,ivnya,51.0629,36.1343,10.29000000000002,83,6,5.17,RU,1699377443
84,paracuru,-3.41,-39.0306,28.390000000000043,56,93,6.95,BR,1699377234
85,saldanha,-33.0117,17.9442,15.310000000000002,79,7,6.43,ZA,1699377443
86,fortuna,40.5982,-124.1573,12.740000000000009,96,75,3.09,US,1699377444
87,minab,27.1467,57.0801,26.27000000000004,56,0,1.44,IR,1699377444
88,queenstown,-31.8976,26.8753,14.629999999999995,72,73,6.4,ZA,1699377303
89,port mathurin,-19.6833,63.4167,25.03000000000003,75,9,5.07,MU,1699377444
90,isiro,2.7739,27.616,20.060000000000002,94,98,1.14,CD,1699377444
91,punta gorda,26.9298,-82.0454,29.03000000000003,72,75,2.57,US,1699377444
92,aljezur,37.3191,-8.8033,16.640000000000043,72,15,3.63,PT,1699377445
93,grytviken,-54.2811,-36.5092,4.760000000000048,74,83,0.87,GS,1699377445
94,siwa oasis,29.2041,25.5195,26.150000000000034,37,0,2.04,EG,1699377445
95,iskateley,67.6803,53.1512,1.6800000000000068,100,100,8.94,RU,1699377445
96,viedma,-40.8135,-62.9967,25.120000000000005,22,100,6.8,AR,1699377445
97,hajnowka,52.7433,23.5812,7.230000000000018,87,8,0.45,PL,1699377446
98,gisborne,-38.6533,178.0042,11.670000000000016,90,100,7.76,NZ,1699377191
99,tamanrasset,22.785,5.5228,24.950000000000045,10,0,4.12,DZ,1699377319
100,faro,37.0194,-7.9322,16.879999999999995,72,40,3.6,PT,1699377446
101,cole harbour,44.6724,-63.4751,11.090000000000032,80,75,9.77,CA,1699377367
102,whitehorse,60.7161,-135.0538,-3.569999999999993,79,75,5.14,CA,1699377207
103,maragogi,-9.0122,-35.2225,28.960000000000036,58,37,5.03,BR,1699377446
104,tostedt,53.2833,9.7167,9.170000000000016,87,99,5.42,DE,1699377447
105,el granada,37.5027,-122.4694,16.760000000000048,83,40,5.14,US,1699377447
106,lerwick,60.1545,-1.1494,4.0,84,79,1.92,GB,1699377447
107,dudinka,69.4058,86.1778,-10.17999999999995,92,100,12.96,RU,1699377447
108,salinas,36.6777,-121.6555,15.32000000000005,90,75,4.12,US,1699377448
109,bilibino,68.0546,166.4372,-25.70999999999998,99,97,0.92,RU,1699377448
110,port lincoln,-34.7333,135.8667,13.480000000000018,85,9,5.78,AU,1699377448
111,beyneu,45.3167,55.2,13.580000000000041,87,100,6.82,KZ,1699377448
112,saipan,15.1355,145.701,27.390000000000043,83,20,4.12,MP,1699377449
113,souillac,-20.5167,57.5167,25.210000000000036,83,75,5.66,MU,1699377449
114,inhambane,-23.865,35.3833,25.99000000000001,94,40,5.14,MZ,1699377449
115,akobo,7.4344,3.9497,25.75,83,40,2.06,NG,1699377449
116,puerto santa,-8.9906,-78.6456,20.939999999999998,77,44,5.61,PE,1699377450
117,praia da vitoria,38.7333,-27.0667,21.140000000000043,73,20,12.81,PT,1699377450
118,hermanus,-34.4187,19.2345,15.54000000000002,66,22,3.22,ZA,1699377450
119,puerto princesa,9.7392,118.7353,26.939999999999998,86,65,1.12,PH,1699377451
120,sarkand,45.41,79.9186,7.1299999999999955,37,0,1.22,KZ,1699377451
121,tolanaro,-25.0319,46.9987,22.80000000000001,77,7,8.22,MG,1699377451
122,awjilah,29.1081,21.2869,25.879999999999995,30,0,3.41,LY,1699377451
123,anzio,41.4853,12.6179,15.810000000000002,86,99,4.31,IT,1699377452
124,funafuti,-8.5243,179.1942,28.340000000000032,77,64,2.55,TV,1699377452
125,toliara,-23.35,43.6667,25.170000000000016,78,0,2.06,MG,1699377360
126,thompson,55.7435,-97.8558,-3.909999999999968,74,100,2.57,CA,1699377452
127,antonio enes,-16.2325,39.9086,27.350000000000023,76,3,8.96,MZ,1699377453
128,port elizabeth,-33.918,25.5701,16.29000000000002,84,20,5.66,ZA,1699377453
129,blackfoot,43.1905,-112.345,5.8799999999999955,62,100,6.86,US,1699377453
130,georgetown,5.4112,100.3354,27.230000000000018,94,20,1.54,MY,1699377453
131,thames,-37.1333,175.5333,7.650000000000034,95,59,2.39,NZ,1699377453
132,ilulissat,69.2167,-51.1,-0.9899999999999523,40,75,5.66,GL,1699377454
133,livingstone,-17.8419,25.8543,28.390000000000043,39,73,2.74,ZM,1699377454
134,esmeraldas,-19.7625,-44.3139,29.480000000000018,27,0,2.3,BR,1699377306
135,minas de marcona,-15.2119,-75.1103,19.55000000000001,56,16,7.83,PE,1699377454
136,puerto baquerizo moreno,-0.9,-89.6,29.55000000000001,54,20,7.2,EC,1699377454
137,avarua,-21.2078,-159.775,22.03000000000003,64,75,5.14,CK,1699377454
138,aldinga beach,-35.2793,138.4604,14.129999999999995,93,67,3.17,AU,1699377455
139,santa cruz,-17.8,-63.1667,38.03000000000003,37,40,8.75,BO,1699377391
140,axim,4.8699,-2.2405,27.379999999999995,80,92,4.36,GH,1699377455
141,shizuishan,39.2333,106.7694,3.7100000000000364,28,98,3.76,CN,1699377455
142,azul,-36.777,-59.8585,28.99000000000001,44,89,6.32,AR,1699377455
143,vilyuchinsk,52.9306,158.4028,-2.819999999999993,59,100,5.45,RU,1699377455
144,hamilton,39.1834,-84.5333,22.350000000000023,47,0,2.57,US,1699377187
145,tegueste,28.5167,-16.3167,19.49000000000001,74,75,8.05,ES,1699377456
146,labytnangi,66.6572,66.4183,0.10000000000002274,99,96,1.83,RU,1699377456
147,aykhal,66.0,111.5,-19.95999999999998,100,58,1.37,RU,1699377456
148,margate,51.3813,1.3862,10.730000000000018,78,8,1.79,GB,1699377456
149,calvinia,-31.4707,19.776,16.480000000000018,45,2,5.32,ZA,1699377457
150,barra,-11.0894,-43.1417,31.58000000000004,46,87,1.45,BR,1699377457
151,terrace,54.5163,-128.6035,5.1200000000000045,87,100,2.06,CA,1699377333
152,guiyang,26.5833,106.7167,16.27000000000004,94,100,3.0,CN,1699377457
153,vila do maio,15.1333,-23.2167,28.439999999999998,71,99,8.46,CV,1699377457
154,pingliang,35.5392,106.6861,6.0,36,3,2.25,CN,1699377458
155,riberalta,-10.9833,-66.1,34.110000000000014,62,75,3.09,BO,1699377458
156,lompoc,34.6391,-120.4579,19.450000000000045,65,0,6.69,US,1699377246
157,pipraich,26.8264,83.53,20.879999999999995,43,0,2.28,IN,1699377458
158,kodiak,57.79,-152.4072,-2.269999999999982,93,40,2.06,US,1699377458
159,shaoxing,30.011,120.5715,10.970000000000027,59,89,1.51,CN,1699377459
160,porto belo,-27.1578,-48.5531,24.980000000000018,65,14,5.06,BR,1699377459
161,touros,-5.1989,-35.4608,29.610000000000014,55,100,6.69,BR,1699377231
162,colonia,50.9333,6.95,10.54000000000002,77,75,4.12,DE,1699377459
163,kosh-agach,50.0,88.6667,-13.159999999999968,89,85,0.89,RU,1699377459
164,tutoia,-2.7619,-42.2744,29.860000000000014,62,100,7.72,BR,1699377257
165,mesquite,32.7668,-96.5992,26.960000000000036,66,0,6.69,US,1699377460
166,ouadda,8.0777,22.4007,24.510000000000048,72,84,1.66,CF,1699377460
167,atafu village,-8.5421,-172.5159,28.79000000000002,76,89,6.4,TK,1699377460
168,suva,-18.1416,178.4415,21.710000000000036,100,20,1.03,FJ,1699377307
169,talnakh,69.4865,88.3972,-10.439999999999998,77,100,9.1,RU,1699377461
170,daru,-9.0763,143.2092,24.810000000000002,90,96,4.09,PG,1699377461
171,jamestown,42.097,-79.2353,11.120000000000005,82,100,7.2,US,1699377200
172,abepura,-2.6333,140.5833,25.450000000000045,89,20,1.03,ID,1699377461
173,alo,7.4178,6.7371,28.439999999999998,77,65,2.05,NG,1699377461
174,lagos,6.5833,3.75,30.180000000000007,86,98,2.7,NG,1699377407
175,udachny,66.4167,112.4,-22.299999999999983,100,61,0.98,RU,1699377461
176,shingu,33.7333,135.9833,12.080000000000041,80,68,3.08,JP,1699377462
177,usinsk,65.9939,57.5281,-0.5199999999999818,97,100,8.49,RU,1699377462
178,cottage grove,44.8277,-92.9438,6.210000000000036,78,100,4.63,US,1699377462
179,kingman,35.1894,-114.053,21.410000000000025,18,0,6.69,US,1699377462
180,urzhar,47.093,81.6294,5.060000000000002,38,10,2.07,KZ,1699377462
181,katsuura,35.1333,140.3,18.590000000000032,74,26,9.42,JP,1699377462
182,hawaiian paradise park,19.5933,-154.9731,23.83000000000004,94,20,2.06,US,1699377463
183,luanda,-8.8368,13.2343,27.0,78,20,6.69,AO,1699377463
184,benguela,-12.5763,13.4055,25.730000000000018,68,15,2.96,AO,1699377463
185,stephenville,32.2207,-98.2023,27.150000000000034,44,0,5.66,US,1699377463
186,colchani,-20.3,-66.9333,19.060000000000002,28,20,4.86,BO,1699377464
187,alice springs,-23.7,133.8833,19.75,21,71,2.57,AU,1699377464
188,olonkinbyen,70.9221,-8.7187,0.9300000000000068,68,95,3.88,SJ,1699377464
189,lihue,21.9789,-159.3672,24.77000000000004,86,100,8.75,US,1699377464
190,utrik,11.2278,169.8474,27.54000000000002,79,100,11.3,MH,1699377464
191,prince rupert,54.3161,-130.3201,6.830000000000041,88,100,10.8,CA,1699377464
192,auki,-8.7676,160.7034,24.82000000000005,92,100,0.36,SB,1699377465
193,rudsar,37.1376,50.288,17.99000000000001,79,63,2.06,IR,1699377465
194,la'ie,21.6477,-157.9253,25.340000000000032,82,64,3.13,US,1699377465
195,mo i rana,66.3128,14.1428,1.8500000000000227,93,100,1.34,NO,1699377465
196,pahrump,36.2083,-115.9839,18.060000000000002,46,2,2.24,US,1699377465
197,happy valley-goose bay,53.3168,-60.3315,-1.829999999999984,59,100,3.09,CA,1699377465
198,sao gabriel da cachoeira,-0.1303,-67.0892,29.0,79,98,1.1,BR,1699377466
199,yaren,-0.5472,166.916,28.760000000000048,76,100,6.35,NR,1699377466
200,vorgashor,67.5833,63.95,0.30000000000001137,99,100,3.11,RU,1699377466
201,asau,46.4333,26.4,12.510000000000048,65,93,1.43,RO,1699377466
202,puerto aysen,-45.4,-72.7,8.600000000000023,99,100,1.85,CL,1699377466
203,bafoulabe,13.8065,-10.8321,39.10000000000002,10,49,3.01,ML,1699377467
204,luderitz,-26.6481,15.1594,18.450000000000045,69,0,11.49,NA,1699377467
205,kapuskasing,49.4169,-82.4331,-1.9499999999999886,74,75,5.66,CA,1699377180
206,hasaki,35.7333,140.8333,13.220000000000027,59,14,7.95,JP,1699377467
207,kievka,50.2619,71.5514,4.590000000000032,33,17,3.96,KZ,1699377467
208,dunedin,-45.8742,170.5036,10.450000000000045,82,100,1.82,NZ,1699377467
209,todaraisingh,26.0167,75.4833,25.200000000000045,29,85,0.84,IN,1699377468
210,kuta,-8.7233,115.1723,26.970000000000027,88,40,3.13,ID,1699377468
211,osinniki,53.6239,87.3598,-10.269999999999982,99,100,1.01,RU,1699377468
212,kodinsk,58.6881,99.1844,-8.639999999999986,96,30,1.5,RU,1699377468
213,quatre cocos,-20.2078,57.7625,25.060000000000002,81,70,3.82,MU,1699377468
